"year","id","region","arealFjell","mean_snow","reference_snow","reference_mean_snow","n_reference_years","relative_snow","condition_score"
1975,1,"Nord-Norge",59822.7350921747,106.761407453263,142.921073581004,143.744102075349,30,0.746995560404557,0.746995560404557
1975,2,"Midt-Norge",18294.6375230299,154.021834318461,156.549324576585,160.910013390366,30,0.983854990975145,0.983854990975145
1975,3,"Østlandet",19004.1775274179,123.834016539112,104.273160477513,104.203290990937,30,1.18759243483195,1
1975,4,"Vestlandet",20329.6250265664,289.994472854145,247.243754336309,247.789646322772,30,1.17290919494648,1
1975,5,"Sørlandet",7085.62001515692,209.453420414077,155.899339572004,156.040950888283,30,1.3435170475327,1
1976,1,"Nord-Norge",59822.7350921747,182.113098368824,142.921073581004,143.744102075349,30,1.2742214552818,1
1976,2,"Midt-Norge",18294.6375230299,278.96210957112,156.549324576585,160.910013390366,30,1.78194387184756,1
1976,3,"Østlandet",19004.1775274179,133.515232076536,104.273160477513,104.203290990937,30,1.28043718503507,1
1976,4,"Vestlandet",20329.6250265664,332.425475095137,247.243754336309,247.789646322772,30,1.34452526814069,1
1976,5,"Sørlandet",7085.62001515692,173.098478069776,155.899339572004,156.040950888283,30,1.11032207413443,1
1977,1,"Nord-Norge",59822.7350921747,123.369985918426,142.921073581004,143.744102075349,30,0.863203604809917,0.863203604809917
1977,2,"Midt-Norge",18294.6375230299,110.710464260079,156.549324576585,160.910013390366,30,0.707192219190436,0.707192219190436
1977,3,"Østlandet",19004.1775274179,96.7969394705512,104.273160477513,104.203290990937,30,0.928301578539248,0.928301578539248
1977,4,"Vestlandet",20329.6250265664,152.2272302805,247.243754336309,247.789646322772,30,0.615696969531678,0.615696969531678
1977,5,"Sørlandet",7085.62001515692,133.484818410961,155.899339572004,156.040950888283,30,0.856224399522292,0.856224399522292
1978,1,"Nord-Norge",59822.7350921747,140.240710114856,142.921073581004,143.744102075349,30,0.981245848502328,0.981245848502328
1978,2,"Midt-Norge",18294.6375230299,107.613635109006,156.549324576585,160.910013390366,30,0.687410408189661,0.687410408189661
1978,3,"Østlandet",19004.1775274179,84.6465278530563,104.273160477513,104.203290990937,30,0.81177675506739,0.81177675506739
1978,4,"Vestlandet",20329.6250265664,172.655379984862,247.243754336309,247.789646322772,30,0.698320491242867,0.698320491242867
1978,5,"Sørlandet",7085.62001515692,139.80970047344,155.899339572004,156.040950888283,30,0.89679469366108,0.89679469366108
1979,1,"Nord-Norge",59822.7350921747,152.985812207512,142.921073581004,143.744102075349,30,1.07042165563361,1
1979,2,"Midt-Norge",18294.6375230299,160.41211691602,156.549324576585,160.910013390366,30,1.02467460239693,1
1979,3,"Østlandet",19004.1775274179,103.00143765745,104.273160477513,104.203290990937,30,0.987803929465274,0.987803929465274
1979,4,"Vestlandet",20329.6250265664,246.204469633826,247.243754336309,247.789646322772,30,0.995796517872523,0.995796517872523
1979,5,"Sørlandet",7085.62001515692,128.141759983146,155.899339572004,156.040950888283,30,0.821951910347652,0.821951910347652
1980,1,"Nord-Norge",59822.7350921747,118.117702358566,142.921073581004,143.744102075349,30,0.826454065863282,0.826454065863282
1980,2,"Midt-Norge",18294.6375230299,124.664805034721,156.549324576585,160.910013390366,30,0.796329242377115,0.796329242377115
1980,3,"Østlandet",19004.1775274179,79.9981059935024,104.273160477513,104.203290990937,30,0.767197480417358,0.767197480417358
1980,4,"Vestlandet",20329.6250265664,221.17072974678,247.243754336309,247.789646322772,30,0.894545265017843,0.894545265017843
1980,5,"Sørlandet",7085.62001515692,128.618890086214,155.899339572004,156.040950888283,30,0.825012411465732,0.825012411465732
1981,1,"Nord-Norge",59822.7350921747,162.151926603939,142.921073581004,143.744102075349,30,1.13455575543263,1
1981,2,"Midt-Norge",18294.6375230299,210.534199205351,156.549324576585,160.910013390366,30,1.3448425905048,1
1981,3,"Østlandet",19004.1775274179,133.306049175628,104.273160477513,104.203290990937,30,1.27843108010883,1
1981,4,"Vestlandet",20329.6250265664,350.076307965523,247.243754336309,247.789646322772,30,1.41591567764878,1
1981,5,"Sørlandet",7085.62001515692,197.885799821857,155.899339572004,156.040950888283,30,1.26931775570775,1
1982,1,"Nord-Norge",59822.7350921747,121.347468262862,142.921073581004,143.744102075349,30,0.849052314136763,0.849052314136763
1982,2,"Midt-Norge",18294.6375230299,146.43022476386,156.549324576585,160.910013390366,30,0.935361587537386,0.935361587537386
1982,3,"Østlandet",19004.1775274179,113.897191471369,104.273160477513,104.203290990937,30,1.09229633924764,1
1982,4,"Vestlandet",20329.6250265664,247.667803599263,247.243754336309,247.789646322772,30,1.00171510606645,1
1982,5,"Sørlandet",7085.62001515692,156.917476315124,155.899339572004,156.040950888283,30,1.00653073159845,1
1983,1,"Nord-Norge",59822.7350921747,140.329932188579,142.921073581004,143.744102075349,30,0.981870123645857,0.981870123645857
1983,2,"Midt-Norge",18294.6375230299,177.072812117658,156.549324576585,160.910013390366,30,1.1310991765476,1
1983,3,"Østlandet",19004.1775274179,137.494437255866,104.273160477513,104.203290990937,30,1.31859854085384,1
1983,4,"Vestlandet",20329.6250265664,346.280157833995,247.243754336309,247.789646322772,30,1.4005618008978,1
1983,5,"Sørlandet",7085.62001515692,242.883158819941,155.899339572004,156.040950888283,30,1.55794860636829,1
1984,1,"Nord-Norge",59822.7350921747,187.641446470226,142.921073581004,143.744102075349,30,1.31290258160477,1
1984,2,"Midt-Norge",18294.6375230299,226.479257585989,156.549324576585,160.910013390366,30,1.44669584617207,1
1984,3,"Østlandet",19004.1775274179,129.286294474013,104.273160477513,104.203290990937,30,1.23988084644173,1
1984,4,"Vestlandet",20329.6250265664,345.866583355247,247.243754336309,247.789646322772,30,1.39888906105506,1
1984,5,"Sørlandet",7085.62001515692,180.080058742834,155.899339572004,156.040950888283,30,1.15510469279225,1
1985,1,"Nord-Norge",59822.7350921747,97.0608686303457,142.921073581004,143.744102075349,30,0.679122163012119,0.679122163012119
1985,2,"Midt-Norge",18294.6375230299,121.117089301486,156.549324576585,160.910013390366,30,0.773667274701238,0.773667274701238
1985,3,"Østlandet",19004.1775274179,111.169762901214,104.273160477513,104.203290990937,30,1.06613976590063,1
1985,4,"Vestlandet",20329.6250265664,214.052732478449,247.243754336309,247.789646322772,30,0.865755873401305,0.865755873401305
1985,5,"Sørlandet",7085.62001515692,128.524860772267,155.899339572004,156.040950888283,30,0.824409270270874,0.824409270270874
1986,1,"Nord-Norge",59822.7350921747,148.26150099955,142.921073581004,143.744102075349,30,1.03736626996102,1
1986,2,"Midt-Norge",18294.6375230299,126.905829607179,156.549324576585,160.910013390366,30,0.810644376463571,0.810644376463571
1986,3,"Østlandet",19004.1775274179,77.5080339126732,104.273160477513,104.203290990937,30,0.74331720221896,0.74331720221896
1986,4,"Vestlandet",20329.6250265664,180.728634733008,247.243754336309,247.789646322772,30,0.730973509191965,0.730973509191965
1986,5,"Sørlandet",7085.62001515692,126.557425671565,155.899339572004,156.040950888283,30,0.811789363694597,0.811789363694597
1987,1,"Nord-Norge",59822.7350921747,136.343135327539,142.921073581004,143.744102075349,30,0.953975029093685,0.953975029093685
1987,2,"Midt-Norge",18294.6375230299,184.637078150425,156.549324576585,160.910013390366,30,1.17941791604536,1
1987,3,"Østlandet",19004.1775274179,123.240576043065,104.273160477513,104.203290990937,30,1.18190122442527,1
1987,4,"Vestlandet",20329.6250265664,271.8722345164,247.243754336309,247.789646322772,30,1.09961214286768,1
1987,5,"Sørlandet",7085.62001515692,156.629409818981,155.899339572004,156.040950888283,30,1.00468295920291,1
1988,1,"Nord-Norge",59822.7350921747,125.572876931837,142.921073581004,143.744102075349,30,0.878616944202182,0.878616944202182
1988,2,"Midt-Norge",18294.6375230299,136.093532423967,156.549324576585,160.910013390366,30,0.869333245557307,0.869333245557307
1988,3,"Østlandet",19004.1775274179,115.996126424537,104.273160477513,104.203290990937,30,1.11242553590339,1
1988,4,"Vestlandet",20329.6250265664,206.879759087316,247.243754336309,247.789646322772,30,0.836744125822938,0.836744125822938
1988,5,"Sørlandet",7085.62001515692,144.699259675748,155.899339572004,156.040950888283,30,0.928158259508963,0.928158259508963
1989,1,"Nord-Norge",59822.7350921747,207.763563257189,142.921073581004,143.744102075349,30,1.45369439265675,1
1989,2,"Midt-Norge",18294.6375230299,245.390403961462,156.549324576585,160.910013390366,30,1.5674957693057,1
1989,3,"Østlandet",19004.1775274179,139.860046082266,104.273160477513,104.203290990937,30,1.34128519210299,1
1989,4,"Vestlandet",20329.6250265664,361.410423459312,247.243754336309,247.789646322772,30,1.46175754542098,1
1989,5,"Sørlandet",7085.62001515692,185.055608262048,155.899339572004,156.040950888283,30,1.18701983452969,1
1990,1,"Nord-Norge",59822.7350921747,181.890991296453,142.921073581004,143.744102075349,30,1.2726674012378,1
1990,2,"Midt-Norge",18294.6375230299,182.051569743125,156.549324576585,160.910013390366,30,1.16290230082765,1
1990,3,"Østlandet",19004.1775274179,132.765548102121,104.273160477513,104.203290990937,30,1.27324756911682,1
1990,4,"Vestlandet",20329.6250265664,397.381513061679,247.243754336309,247.789646322772,30,1.60724591053227,1
1990,5,"Sørlandet",7085.62001515692,204.667731187533,155.899339572004,156.040950888283,30,1.31281974477515,1
1991,1,"Nord-Norge",59822.7350921747,151.659026052467,142.921073581004,143.744102075349,30,1.06113830698669,1
1991,2,"Midt-Norge",18294.6375230299,107.086486515491,156.549324576585,160.910013390366,30,0.684043107851951,0.684043107851951
1991,3,"Østlandet",19004.1775274179,85.3494805190384,104.273160477513,104.203290990937,30,0.818518208599276,0.818518208599276
1991,4,"Vestlandet",20329.6250265664,238.337169239192,247.243754336309,247.789646322772,30,0.963976501161676,0.963976501161676
1991,5,"Sørlandet",7085.62001515692,131.7554741591,155.899339572004,156.040950888283,30,0.845131701781502,0.845131701781502
1992,1,"Nord-Norge",59822.7350921747,188.418346626836,142.921073581004,143.744102075349,30,1.318338450068,1
1992,2,"Midt-Norge",18294.6375230299,205.224995916661,156.549324576585,160.910013390366,30,1.31092865760825,1
1992,3,"Østlandet",19004.1775274179,129.831330762824,104.273160477513,104.203290990937,30,1.24510785103539,1
1992,4,"Vestlandet",20329.6250265664,330.283721317274,247.243754336309,247.789646322772,30,1.33586274890492,1
1992,5,"Sørlandet",7085.62001515692,170.37323799014,155.899339572004,156.040950888283,30,1.09284130681933,1
1993,1,"Nord-Norge",59822.7350921747,179.943757069788,142.921073581004,143.744102075349,30,1.25904285883915,1
1993,2,"Midt-Norge",18294.6375230299,179.849404316078,156.549324576585,160.910013390366,30,1.14883538975663,1
1993,3,"Østlandet",19004.1775274179,143.807619502106,104.273160477513,104.203290990937,30,1.37914319316253,1
1993,4,"Vestlandet",20329.6250265664,387.010294937628,247.243754336309,247.789646322772,30,1.56529856932687,1
1993,5,"Sørlandet",7085.62001515692,240.158575758823,155.899339572004,156.040950888283,30,1.54047205342972,1
1994,1,"Nord-Norge",59822.7350921747,124.411422197567,142.921073581004,143.744102075349,30,0.870490397814244,0.870490397814244
1994,2,"Midt-Norge",18294.6375230299,117.640326214902,156.549324576585,160.910013390366,30,0.751458535724001,0.751458535724001
1994,3,"Østlandet",19004.1775274179,117.042645475088,104.273160477513,104.203290990937,30,1.12246185824903,1
1994,4,"Vestlandet",20329.6250265664,283.205546082599,247.243754336309,247.789646322772,30,1.14545075908115,1
1994,5,"Sørlandet",7085.62001515692,183.200628345845,155.899339572004,156.040950888283,30,1.1751212599668,1
1995,1,"Nord-Norge",59822.7350921747,168.261763941092,142.921073581004,143.744102075349,30,1.17730548564432,1
1995,2,"Midt-Norge",18294.6375230299,202.605838897913,156.549324576585,160.910013390366,30,1.29419810303172,1
1995,3,"Østlandet",19004.1775274179,135.12620948077,104.273160477513,104.203290990937,30,1.29588677337455,1
1995,4,"Vestlandet",20329.6250265664,314.840772747045,247.243754336309,247.789646322772,30,1.27340232958438,1
1995,5,"Sørlandet",7085.62001515692,199.086125973537,155.899339572004,156.040950888283,30,1.27701712220267,1
1996,1,"Nord-Norge",59822.7350921747,177.817591134431,142.921073581004,143.744102075349,30,1.24416635475138,1
1996,2,"Midt-Norge",18294.6375230299,124.722567378204,156.549324576585,160.910013390366,30,0.796698214543806,0.796698214543806
1996,3,"Østlandet",19004.1775274179,62.9778144040572,104.273160477513,104.203290990937,30,0.603969555690594,0.603969555690594
1996,4,"Vestlandet",20329.6250265664,133.194985173304,247.243754336309,247.789646322772,30,0.538719311761169,0.538719311761169
1996,5,"Sørlandet",7085.62001515692,35.0863677739661,155.899339572004,156.040950888283,30,0.225057834563571,0.225057834563571
1997,1,"Nord-Norge",59822.7350921747,198.85311710864,142.921073581004,143.744102075349,30,1.39134917004339,1
1997,2,"Midt-Norge",18294.6375230299,181.127172024683,156.549324576585,160.910013390366,30,1.15699746718533,1
1997,3,"Østlandet",19004.1775274179,109.031106502066,104.273160477513,104.203290990937,30,1.04562963281025,1
1997,4,"Vestlandet",20329.6250265664,262.251215987196,247.243754336309,247.789646322772,30,1.06069905260569,1
1997,5,"Sørlandet",7085.62001515692,156.619284751951,155.899339572004,156.040950888283,30,1.00461801301996,1
1998,1,"Nord-Norge",59822.7350921747,149.680533533698,142.921073581004,143.744102075349,30,1.04729505441941,1
1998,2,"Midt-Norge",18294.6375230299,165.279881321967,156.549324576585,160.910013390366,30,1.05576872828417,1
1998,3,"Østlandet",19004.1775274179,103.098360278297,104.273160477513,104.203290990937,30,0.988733436352791,0.988733436352791
1998,4,"Vestlandet",20329.6250265664,219.88703423164,247.243754336309,247.789646322772,30,0.889353240982349,0.889353240982349
1998,5,"Sørlandet",7085.62001515692,100.036823019467,155.899339572004,156.040950888283,30,0.641675733162832,0.641675733162832
1999,1,"Nord-Norge",59822.7350921747,104.32675390617,142.921073581004,143.744102075349,30,0.729960608972338,0.729960608972338
1999,2,"Midt-Norge",18294.6375230299,126.618150491535,156.549324576585,160.910013390366,30,0.808806750421926,0.808806750421926
1999,3,"Østlandet",19004.1775274179,109.794242058267,104.273160477513,104.203290990937,30,1.05294825202834,1
1999,4,"Vestlandet",20329.6250265664,287.770941193979,247.243754336309,247.789646322772,30,1.16391591757883,1
1999,5,"Sørlandet",7085.62001515692,175.464442175202,155.899339572004,156.040950888283,30,1.12549830330847,1
2000,1,"Nord-Norge",59822.7350921747,175.991956761482,142.921073581004,143.744102075349,30,1.23139263057476,1
2000,2,"Midt-Norge",18294.6375230299,204.001331486825,156.549324576585,160.910013390366,30,1.30311217910765,1
2000,3,"Østlandet",19004.1775274179,125.693742472939,104.273160477513,104.203290990937,30,1.20542757021397,1
2000,4,"Vestlandet",20329.6250265664,357.605533718917,247.243754336309,247.789646322772,30,1.44636832052182,1
2000,5,"Sørlandet",7085.62001515692,185.325314106192,155.899339572004,156.040950888283,30,1.18874983444428,1
2001,1,"Nord-Norge",59822.7350921747,87.2716725129193,142.921073581004,143.744102075349,30,0.610628442162212,0.610628442162212
2001,2,"Midt-Norge",18294.6375230299,77.5351684640341,156.549324576585,160.910013390366,30,0.49527628863134,0.49527628863134
2001,3,"Østlandet",19004.1775274179,105.640713973582,104.273160477513,104.203290990937,30,1.01311510545769,1
2001,4,"Vestlandet",20329.6250265664,155.425323246715,247.243754336309,247.789646322772,30,0.628631949324392,0.628631949324392
2001,5,"Sørlandet",7085.62001515692,155.866767937784,155.899339572004,156.040950888283,30,0.99979107266067,0.99979107266067
2002,1,"Nord-Norge",59822.7350921747,159.032195313784,142.921073581004,143.744102075349,30,1.11272740491729,1
2002,2,"Midt-Norge",18294.6375230299,188.504384036211,156.549324576585,160.910013390366,30,1.20412134990716,1
2002,3,"Østlandet",19004.1775274179,106.233633374062,104.273160477513,104.203290990937,30,1.01880131845598,1
2002,4,"Vestlandet",20329.6250265664,251.406268508938,247.243754336309,247.789646322772,30,1.01683566965646,1
2002,5,"Sørlandet",7085.62001515692,133.087946272899,155.899339572004,156.040950888283,30,0.853678704722355,0.853678704722355
2003,1,"Nord-Norge",59822.7350921747,130.203218831966,142.921073581004,143.744102075349,30,0.911014838957043,0.911014838957043
2003,2,"Midt-Norge",18294.6375230299,114.512991017435,156.549324576585,160.910013390366,30,0.731481859325522,0.731481859325522
2003,3,"Østlandet",19004.1775274179,74.7620623827208,104.273160477513,104.203290990937,30,0.716982798261341,0.716982798261341
2003,4,"Vestlandet",20329.6250265664,167.397361243239,247.243754336309,247.789646322772,30,0.677053953061802,0.677053953061802
2003,5,"Sørlandet",7085.62001515692,108.649196631512,155.899339572004,156.040950888283,30,0.696918902477653,0.696918902477653
2004,1,"Nord-Norge",59822.7350921747,137.570611980572,142.921073581004,143.744102075349,30,0.962563522184855,0.962563522184855
2004,2,"Midt-Norge",18294.6375230299,140.301810180513,156.549324576585,160.910013390366,30,0.896214726955761,0.896214726955761
2004,3,"Østlandet",19004.1775274179,82.5518783123535,104.273160477513,104.203290990937,30,0.791688656355214,0.791688656355214
2004,4,"Vestlandet",20329.6250265664,181.339304987213,247.243754336309,247.789646322772,30,0.733443420942999,0.733443420942999
2004,5,"Sørlandet",7085.62001515692,100.62367533757,155.899339572004,156.040950888283,30,0.645440035947655,0.645440035947655
2005,1,"Nord-Norge",59822.7350921747,154.850404557147,142.921073581004,143.744102075349,30,1.08346796366165,1
2005,2,"Midt-Norge",18294.6375230299,229.234480435822,156.549324576585,160.910013390366,30,1.46429555704457,1
2005,3,"Østlandet",19004.1775274179,126.316077089816,104.273160477513,104.203290990937,30,1.21139588088976,1
2005,4,"Vestlandet",20329.6250265664,321.265629475322,247.243754336309,247.789646322772,30,1.29938825082848,1
2005,5,"Sørlandet",7085.62001515692,159.108053091893,155.899339572004,156.040950888283,30,1.02058195710577,1
2006,1,"Nord-Norge",59822.7350921747,113.293493861604,142.921073581004,143.744102075349,30,0.792699711966494,0.792699711966494
2006,2,"Midt-Norge",18294.6375230299,142.804807151725,156.549324576585,160.910013390366,30,0.912203278666104,0.912203278666104
2006,3,"Østlandet",19004.1775274179,83.0354093065266,104.273160477513,104.203290990937,30,0.796325813145694,0.796325813145694
2006,4,"Vestlandet",20329.6250265664,183.14562367221,247.243754336309,247.789646322772,30,0.740749242236022,0.740749242236022
