"year","id","region","arealFjell","mean_snow"
1981,2,"Midt-Norge",18294.6375230299,210.534199205351
1981,3,"Østlandet",19004.1775274179,133.306049175628
1981,4,"Vestlandet",20329.6250265664,350.076307965523
1981,5,"Sørlandet",7085.62001515692,197.885799821857
1982,1,"Nord-Norge",59822.7350921747,121.347468262862
1982,2,"Midt-Norge",18294.6375230299,146.43022476386
1982,3,"Østlandet",19004.1775274179,113.897191471369
1982,4,"Vestlandet",20329.6250265664,247.667803599263
1982,5,"Sørlandet",7085.62001515692,156.917476315124
1983,1,"Nord-Norge",59822.7350921747,140.329932188579
1983,2,"Midt-Norge",18294.6375230299,177.072812117658
1983,3,"Østlandet",19004.1775274179,137.494437255866
1983,4,"Vestlandet",20329.6250265664,346.280157833995
1983,5,"Sørlandet",7085.62001515692,242.883158819941
1984,1,"Nord-Norge",59822.7350921747,187.641446470226
1984,2,"Midt-Norge",18294.6375230299,226.479257585989
1984,3,"Østlandet",19004.1775274179,129.286294474013
1984,4,"Vestlandet",20329.6250265664,345.866583355247
1984,5,"Sørlandet",7085.62001515692,180.080058742834
1985,1,"Nord-Norge",59822.7350921747,97.0608686303457
1985,2,"Midt-Norge",18294.6375230299,121.117089301486
1985,3,"Østlandet",19004.1775274179,111.169762901214
1985,4,"Vestlandet",20329.6250265664,214.052732478449
1985,5,"Sørlandet",7085.62001515692,128.524860772267
1986,1,"Nord-Norge",59822.7350921747,148.26150099955
1986,2,"Midt-Norge",18294.6375230299,126.905829607179
1986,3,"Østlandet",19004.1775274179,77.5080339126732
1986,4,"Vestlandet",20329.6250265664,180.728634733008
1986,5,"Sørlandet",7085.62001515692,126.557425671565
1987,1,"Nord-Norge",59822.7350921747,136.343135327539
1987,2,"Midt-Norge",18294.6375230299,184.637078150425
1987,3,"Østlandet",19004.1775274179,123.240576043065
1987,4,"Vestlandet",20329.6250265664,271.8722345164
1987,5,"Sørlandet",7085.62001515692,156.629409818981
1988,1,"Nord-Norge",59822.7350921747,125.572876931837
1988,2,"Midt-Norge",18294.6375230299,136.093532423967
1988,3,"Østlandet",19004.1775274179,115.996126424537
1988,4,"Vestlandet",20329.6250265664,206.879759087316
1988,5,"Sørlandet",7085.62001515692,144.699259675748
1989,1,"Nord-Norge",59822.7350921747,207.763563257189
1989,2,"Midt-Norge",18294.6375230299,245.390403961462
1989,3,"Østlandet",19004.1775274179,139.860046082266
1989,4,"Vestlandet",20329.6250265664,361.410423459312
1989,5,"Sørlandet",7085.62001515692,185.055608262048
1990,1,"Nord-Norge",59822.7350921747,181.890991296453
1990,2,"Midt-Norge",18294.6375230299,182.051569743125
1990,3,"Østlandet",19004.1775274179,132.765548102121
1990,4,"Vestlandet",20329.6250265664,397.381513061679
1990,5,"Sørlandet",7085.62001515692,204.667731187533
1991,1,"Nord-Norge",59822.7350921747,151.659026052467
1991,2,"Midt-Norge",18294.6375230299,107.086486515491
1991,3,"Østlandet",19004.1775274179,85.3494805190384
1991,4,"Vestlandet",20329.6250265664,238.337169239192
1991,5,"Sørlandet",7085.62001515692,131.7554741591
1992,1,"Nord-Norge",59822.7350921747,188.418346626836
1992,2,"Midt-Norge",18294.6375230299,205.224995916661
1992,3,"Østlandet",19004.1775274179,129.831330762824
1992,4,"Vestlandet",20329.6250265664,330.283721317274
1992,5,"Sørlandet",7085.62001515692,170.37323799014
1993,1,"Nord-Norge",59822.7350921747,179.943757069788
1993,2,"Midt-Norge",18294.6375230299,179.849404316078
1993,3,"Østlandet",19004.1775274179,143.807619502106
1993,4,"Vestlandet",20329.6250265664,387.010294937628
1993,5,"Sørlandet",7085.62001515692,240.158575758823
1994,1,"Nord-Norge",59822.7350921747,124.411422197567
1994,2,"Midt-Norge",18294.6375230299,117.640326214902
1994,3,"Østlandet",19004.1775274179,117.042645475088
1994,4,"Vestlandet",20329.6250265664,283.205546082599
1994,5,"Sørlandet",7085.62001515692,183.200628345845
1995,1,"Nord-Norge",59822.7350921747,168.261763941092
1995,2,"Midt-Norge",18294.6375230299,202.605838897913
1995,3,"Østlandet",19004.1775274179,135.12620948077
1995,4,"Vestlandet",20329.6250265664,314.840772747045
1995,5,"Sørlandet",7085.62001515692,199.086125973537
1996,1,"Nord-Norge",59822.7350921747,177.817591134431
1996,2,"Midt-Norge",18294.6375230299,124.722567378204
1996,3,"Østlandet",19004.1775274179,62.9778144040572
1996,4,"Vestlandet",20329.6250265664,133.194985173304
1996,5,"Sørlandet",7085.62001515692,35.0863677739661
1997,1,"Nord-Norge",59822.7350921747,198.85311710864
1997,2,"Midt-Norge",18294.6375230299,181.127172024683
1997,3,"Østlandet",19004.1775274179,109.031106502066
1997,4,"Vestlandet",20329.6250265664,262.251215987196
1997,5,"Sørlandet",7085.62001515692,156.619284751951
1998,1,"Nord-Norge",59822.7350921747,149.680533533698
1998,2,"Midt-Norge",18294.6375230299,165.279881321967
1998,3,"Østlandet",19004.1775274179,103.098360278297
1998,4,"Vestlandet",20329.6250265664,219.88703423164
1998,5,"Sørlandet",7085.62001515692,100.036823019467
1999,1,"Nord-Norge",59822.7350921747,104.32675390617
1999,2,"Midt-Norge",18294.6375230299,126.618150491535
1999,3,"Østlandet",19004.1775274179,109.794242058267
1999,4,"Vestlandet",20329.6250265664,287.770941193979
1999,5,"Sørlandet",7085.62001515692,175.464442175202
2000,1,"Nord-Norge",59822.7350921747,175.991956761482
2000,2,"Midt-Norge",18294.6375230299,204.001331486825
2000,3,"Østlandet",19004.1775274179,125.693742472939
2000,4,"Vestlandet",20329.6250265664,357.605533718917
2000,5,"Sørlandet",7085.62001515692,185.325314106192
2001,1,"Nord-Norge",59822.7350921747,87.2716725129193
2001,2,"Midt-Norge",18294.6375230299,77.5351684640341
2001,3,"Østlandet",19004.1775274179,105.640713973582
2001,4,"Vestlandet",20329.6250265664,155.425323246715
2001,5,"Sørlandet",7085.62001515692,155.866767937784
2002,1,"Nord-Norge",59822.7350921747,159.032195313784
2002,2,"Midt-Norge",18294.6375230299,188.504384036211
2002,3,"Østlandet",19004.1775274179,106.233633374062
2002,4,"Vestlandet",20329.6250265664,251.406268508938
2002,5,"Sørlandet",7085.62001515692,133.087946272899
2003,1,"Nord-Norge",59822.7350921747,130.203218831966
2003,2,"Midt-Norge",18294.6375230299,114.512991017435
2003,3,"Østlandet",19004.1775274179,74.7620623827208
2003,4,"Vestlandet",20329.6250265664,167.397361243239
2003,5,"Sørlandet",7085.62001515692,108.649196631512
2004,1,"Nord-Norge",59822.7350921747,137.570611980572
2004,2,"Midt-Norge",18294.6375230299,140.301810180513
2004,3,"Østlandet",19004.1775274179,82.5518783123535
2004,4,"Vestlandet",20329.6250265664,181.339304987213
2004,5,"Sørlandet",7085.62001515692,100.62367533757
2005,1,"Nord-Norge",59822.7350921747,154.850404557147
2005,2,"Midt-Norge",18294.6375230299,229.234480435822
2005,3,"Østlandet",19004.1775274179,126.316077089816
2005,4,"Vestlandet",20329.6250265664,321.265629475322
2005,5,"Sørlandet",7085.62001515692,159.108053091893
2006,1,"Nord-Norge",59822.7350921747,113.293493861604
2006,2,"Midt-Norge",18294.6375230299,142.804807151725
2006,3,"Østlandet",19004.1775274179,83.0354093065266
2006,4,"Vestlandet",20329.6250265664,183.14562367221
2006,5,"Sørlandet",7085.62001515692,90.738983178008
2007,1,"Nord-Norge",59822.7350921747,153.372573024586
2007,2,"Midt-Norge",18294.6375230299,162.468011769855
2007,3,"Østlandet",19004.1775274179,133.550269592711
2007,4,"Vestlandet",20329.6250265664,323.984134960847
2007,5,"Sørlandet",7085.62001515692,219.253581255663
2008,1,"Nord-Norge",59822.7350921747,123.089239677337
2008,2,"Midt-Norge",18294.6375230299,179.31826204999
2008,3,"Østlandet",19004.1775274179,128.07370588048
2008,4,"Vestlandet",20329.6250265664,306.882588533465
2008,5,"Sørlandet",7085.62001515692,190.92642988555
2009,1,"Nord-Norge",59822.7350921747,126.197690338733
2009,2,"Midt-Norge",18294.6375230299,143.233303658866
2009,3,"Østlandet",19004.1775274179,100.488939591188
2009,4,"Vestlandet",20329.6250265664,240.199412752136
2009,5,"Sørlandet",7085.62001515692,136.587746355085
2010,1,"Nord-Norge",59822.7350921747,104.598731781041
2010,2,"Midt-Norge",18294.6375230299,109.515265394875
2010,3,"Østlandet",19004.1775274179,82.2268586463868
2010,4,"Vestlandet",20329.6250265664,122.10931827299
2010,5,"Sørlandet",7085.62001515692,108.328456934627
2011,1,"Nord-Norge",59822.7350921747,136.147278470403
2011,2,"Midt-Norge",18294.6375230299,127.118307686872
2011,3,"Østlandet",19004.1775274179,61.7183977404715
2011,4,"Vestlandet",20329.6250265664,175.624509740314
2011,5,"Sørlandet",7085.62001515692,96.9130177475199
2012,1,"Nord-Norge",59822.7350921747,121.957614753213
2012,2,"Midt-Norge",18294.6375230299,171.996730967629
2012,3,"Østlandet",19004.1775274179,102.72970741782
